1. Analista contable- excel | Empresa confidencial
2. Auxiliar contable | Empresa confidencial
3. Asesor de crédito-dafe | FUNDACION UNIVERSITARIA DEL AREA ANDINA
4. Analista de nomina | GRUPO SOLUCIONES HORIZONTE
5. Auxiliar contable | Empresa confidencial
6. Auxiliar contable | Empresa confidencial
7. Auxiliar contable | TRAVEL CLUB SAS
8. Asistente de facturación | Empresa confidencial
9. Auxiliar contable y tesoreria | Hilos venus
10. Asistente de compras | Empresa confidencial
11. Contador para cubrir licencia de maternidad | SALES MARKETING TEMPORALES
12. Auxiliar contable - experiencia conciliaciones bancarias | Empresa confidencial
13. Auxiliar de caja | FUNDACION UNIVERSITARIA DEL AREA ANDINA
14. Asistente graduado de técnico con experiencia en facturación electrónica | COLCHONES EL DORADO
15. Analista contable- excel | Empresa confidencial
16. Analista junior de costos, presupuesto y facturación | Empresa confidencial
17. Asesor de crédito-dafe | FUNDACION UNIVERSITARIA DEL AREA ANDINA
18. Ejecutivo aval bancario | Empresa confidencial
19. Analista de nomina | GRUPO SOLUCIONES HORIZONTE
20. Auxiliar contable | Empresa confidencial
